 68137.976681,46720.199952,60078.837741,52800.071309,-16845.928703,52742.163026
 11960.360965,50752.009616,18753.668409,52712.551079,80656.856346,48797.873591
 41500.296495,49921.511387,40383.483974,51333.842012,29487.105250,51007.080887
 36402.811809,50394.518019,36625.360304,51207.501511,38342.713606,50660.414756
 37817.585392,50691.984302,37635.079265,50768.875652,35918.221063,50801.574332
 36535.702937,50766.431297,36693.458403,50786.273321,38141.724379,50709.729669
 37308.987954,50739.249552,37260.111305,50756.192011,36801.786460,50766.992723
 37113.795310,50749.982859,37116.764964,50759.507468,37140.325446,50752.943960
 37128.084708,50752.163651,37127.256141,50755.925058,37115.544870,50754.345577
 37122.500128,50753.122502,37122.405118,50755.284582,37125.980474,50754.027203
 37122.031134,50751.792268,37124.161975,50755.842943,37124.692610,50754.799076
 37122.163889,50752.041517,37124.016232,50755.631755,37124.705598,50754.761015
 37122.045360,50751.927300,37123.955154,50755.662433,37124.885206,50754.844553
 37122.159765,50752.114029,37123.824626,50755.565905,37124.901329,50754.754352
 37122.082467,50752.009963,37123.822625,50755.642840,37124.980628,50754.781484
 37122.143695,50752.111957,37123.567431,50755.723939,37125.174593,50754.598390
 37122.104235,50752.051942,37123.580588,50755.766856,37125.200897,50754.615489
 37122.115700,50752.060228,37123.579365,50755.770027,37125.190655,50754.604031
 37122.111234,50752.053634,37123.580194,50755.774962,37125.194291,50754.605691
 37122.112827,50752.055327,37123.578891,50755.775190,37125.194002,50754.603769
 37122.112145,50752.054357,37123.578750,50755.776067,37125.194824,50754.603862
 37122.112727,50752.055090,37123.577479,50755.776509,37125.195514,50754.602688
 37122.112395,50752.054646,37123.577497,50755.776819,37125.195827,50754.602821
 37122.112491,50752.054792,37123.577350,50755.776798,37125.195879,50754.602696
 37122.112392,50752.054658,37123.577308,50755.776929,37125.196020,50754.602699
 37122.112463,50752.054756,37123.577266,50755.776885,37125.195991,50754.602646
 37122.112438,50752.054722,37123.577203,50755.776956,37125.196078,50754.602609
 37122.112469,50752.054765,37123.577190,50755.776933,37125.196060,50754.602589
 37122.112463,50752.054756,37123.577185,50755.776943,37125.196072,50754.602588
 37122.112463,50752.054756,37123.577185,50755.776943,37125.196072,50754.602588
